Design_Point,radius_1,x_1,y_1,radius_2,x_2,y_2,radius_3,x_3,y_3,Ideal_Turbine_Thrust,Ideal_Turbine_Power,Ringed_Duct_Thrust
1,0.021,0.23,0.659,0.014,0.185,0.643,0.01,0.314,0.613,676.786,546.082,80.8609
2,0.0105,0.288,0.647,0.011,0.284,0.612,0.019,0.345,0.622,702.958,566.465,108.59
3,0.0215,0.371,0.646,0.024,0.317,0.648,0.022,0.22,0.656,684.468,554.412,99.0112
4,0.0155,0.325,0.669,0.018,0.207,0.639,0.0185,0.362,0.617,663.305,534.073,99.6631
5,0.0135,0.348,0.612,0.015,0.235,0.618,0.0235,0.274,0.648,676.027,546.44,100.73
6,0.013,0.244,0.642,0.019,0.377,0.658,0.0205,0.326,0.653,678.363,548.911,98.4132
7,0.02,0.197,0.667,0.0245,0.268,0.617,0.0245,0.192,0.62,706.545,571.239,162.817
8,0.022,0.22,0.614,0.012,0.171,0.634,0.0185,0.287,0.652,665.873,534.644,89.7935
9,0.0145,0.354,0.663,0.0135,0.245,0.665,0.017,0.232,0.609,664.268,535.557,99.7305
10,0.013,0.305,0.673,0.0215,0.252,0.652,0.0155,0.286,0.627,677.937,545.869,100.316
11,0.0155,0.226,0.652,0.0225,0.332,0.621,0.016,0.376,0.662,674.33,546.625,99.2495
12,0.019,0.309,0.623,0.0185,0.372,0.649,0.0105,0.27,0.604,693.421,556.192,92.8854
13,0.0115,0.292,0.63,0.015,0.19,0.664,0.021,0.253,0.663,688.288,550.717,106.641
14,0.017,0.172,0.67,0.0225,0.342,0.663,0.013,0.386,0.649,677.825,544.291,87.7326
15,0.017,0.334,0.639,0.011,0.269,0.627,0.016,0.208,0.653,682.595,547.483,95.3941
16,0.011,0.342,0.641,0.022,0.173,0.632,0.011,0.303,0.634,675.271,544.292,79.7887
17,0.0225,0.317,0.651,0.0125,0.202,0.667,0.0155,0.178,0.644,677.496,547.451,108.056
18,0.0105,0.351,0.677,0.013,0.186,0.645,0.0135,0.377,0.62,662.07,530.877,83.3279
19,0.01,0.248,0.633,0.0245,0.301,0.631,0.016,0.185,0.638,696.444,565.609,105.04
20,0.0245,0.325,0.641,0.0115,0.376,0.642,0.02,0.185,0.663,669.333,539.29,91.7354
21,0.0155,0.372,0.667,0.017,0.267,0.633,0.0235,0.333,0.624,687.76,557.857,111.284
22,0.0145,0.256,0.653,0.0155,0.226,0.612,0.013,0.217,0.671,662.595,531.315,99.9359
23,0.017,0.277,0.661,0.022,0.193,0.657,0.012,0.204,0.604,666.805,535.403,120.622
24,0.011,0.199,0.644,0.0165,0.311,0.664,0.0225,0.361,0.659,672.707,543.496,91.4999
25,0.0165,0.222,0.637,0.0205,0.346,0.645,0.0205,0.26,0.628,688.161,557.589,117.602
26,0.0175,0.277,0.633,0.01,0.17,0.678,0.0155,0.362,0.619,679.452,552.307,103.024
27,0.0145,0.382,0.634,0.023,0.204,0.62,0.011,0.237,0.66,656.152,524.818,90.0989
28,0.0125,0.254,0.675,0.0155,0.363,0.619,0.0175,0.339,0.652,656.457,525.299,104.274
29,0.0145,0.168,0.605,0.021,0.329,0.64,0.0235,0.25,0.621,672.916,538.548,107.303
30,0.018,0.273,0.612,0.0155,0.295,0.673,0.021,0.375,0.661,703.396,565.275,133.723
31,0.0155,0.26,0.624,0.011,0.381,0.664,0.0115,0.379,0.613,667.977,537.455,88.7102
32,0.021,0.204,0.616,0.0125,0.328,0.65,0.015,0.384,0.63,656.829,525.292,78.8444
33,0.0135,0.321,0.668,0.0135,0.339,0.623,0.0205,0.204,0.669,667.773,537.608,102.459
34,0.023,0.308,0.657,0.016,0.331,0.613,0.011,0.208,0.617,677.223,546.608,116.316
35,0.01,0.215,0.672,0.02,0.307,0.665,0.019,0.217,0.613,669.169,538.266,112.497
36,0.0205,0.246,0.655,0.0205,0.285,0.62,0.0235,0.177,0.658,697.706,559.909,131.176
37,0.0225,0.176,0.626,0.0165,0.376,0.637,0.0185,0.334,0.639,659.946,526.455,86.9077
38,0.018,0.29,0.659,0.012,0.38,0.674,0.0215,0.252,0.627,677.099,543.97,105.494
39,0.024,0.336,0.626,0.0135,0.174,0.664,0.013,0.296,0.659,668.24,538.505,97.274
40,0.019,0.344,0.654,0.0235,0.264,0.644,0.015,0.2,0.64,684.622,555.673,116.659
41,0.019,0.294,0.617,0.017,0.223,0.627,0.0235,0.344,0.66,694.089,561.307,120.32
42,0.017,0.263,0.615,0.021,0.231,0.655,0.0165,0.331,0.669,683.289,553.139,122.907
43,0.023,0.352,0.633,0.014,0.309,0.676,0.01,0.233,0.674,667.874,537.74,98.9198
44,0.014,0.305,0.607,0.012,0.2,0.61,0.014,0.347,0.612,664.243,532.625,74.7527
45,0.0245,0.278,0.649,0.0235,0.227,0.62,0.014,0.299,0.608,682.871,550.727,113.706
46,0.012,0.185,0.619,0.0175,0.284,0.668,0.021,0.244,0.649,671.14,540.185,90.1018
47,0.0185,0.2,0.656,0.014,0.345,0.627,0.0185,0.267,0.664,666.829,535.482,102.533
48,0.0135,0.381,0.643,0.0105,0.257,0.678,0.0115,0.174,0.673,663.47,532.183,80.6904
49,0.0235,0.224,0.624,0.0195,0.316,0.632,0.0235,0.369,0.633,666.286,534.099,105.075
50,0.015,0.211,0.667,0.011,0.337,0.609,0.0125,0.264,0.61,676.97,547.17,93.1208
51,0.019,0.321,0.645,0.02,0.178,0.658,0.019,0.349,0.611,654.864,523.181,105.172
52,0.017,0.373,0.618,0.02,0.332,0.659,0.014,0.275,0.639,667.412,537.802,96.77
